,0,1,2,3,4
65,1551083.917050842,676981.0084908551,628504.6924356984,840764.9565891931,428011.94928246574
66,1616854.1534988205,794782.0160555379,760750.231916421,984873.9629385888,468641.57074599457
67,1596546.2688283334,793028.5350534732,850649.1144171687,1088789.9518357052,410129.09271876555
68,1461273.583122006,755613.5810894477,895682.6349719212,1148271.574951325,476496.40291788883
69,1397736.3484840796,691567.4394613614,869911.9660978321,1144227.9934777522,525219.3506895605
70,1348578.9544457183,740311.8643880922,780869.3664869105,1134210.9379931118,568123.4232339598
71,1412294.0468228767,799661.2141861547,899807.0952763839,1138437.1963013764,724458.9097178434
72,1454340.3879310782,882412.0904921931,947988.9853002365,1191944.7780195335,811938.6379723526
73,1557075.6427695719,854012.9610107713,1038131.3519107434,1174876.7179062504,899472.4429226026
74,1697733.9227094078,804010.64415943,1011042.1903046474,1171788.8729898292,800844.9062104037
75,1800105.0710219163,843627.0145540133,973805.3692785276,1250056.0860866474,736648.6139043954
76,1916677.4938711063,913647.0850205473,976625.7600078697,1236045.1484991633,700822.4301761617
77,1893890.1916670152,957199.5212494946,1045826.3614239525,1292855.0554409996,615304.1542865905
78,1819174.0290921852,1076460.6256595876,1096310.9259094505,1291643.5780654822,509381.3243894292
79,1700253.714578893,1029617.6304645606,1104839.266619736,1292793.222803982,491931.0162491999
80,1503412.4115243398,914227.557286693,1099322.6763109826,1217890.4158073855,528862.9979118427
81,1484915.327518957,868877.4161121589,1150497.8253551133,1146317.1471771484,500607.0270603342
82,1490022.0623666332,925265.2636080148,1309256.8093322953,1074263.1765767783,471828.4802116986
83,1446775.2405489883,841470.6356467061,1419617.8063178496,1041963.8557731007,501656.1898197895
84,1388201.8333402062,810133.7704891668,1603484.9347864427,1109142.8221419724,569880.6639119429
85,1436052.4759467677,778233.0064703007,1636808.0471406665,1162482.9479515534,504530.64262010483
86,1427656.1032442339,737217.1187850079,1738646.5602178273,1178126.5485872233,638758.6436438195
87,1347197.5699294207,672018.2973612621,1763971.6545186248,1241261.247845325,778339.2912313351
88,1442157.7458143127,702844.7519352473,1715116.9007989436,1149195.880106682,861813.5928538761
89,1540002.3629064243,619362.1139959276,1617835.317497568,1090988.2717404847,926711.827105628
90,1624496.4338699586,627471.7907222514,1709872.40139761,1015369.8576366785,1068674.576062267
91,1617668.0639934842,550727.1425190675,1695526.9019330305,1069889.1923955092,1021185.2583221712
92,1660371.1634100801,539653.6808135891,1633681.9019872725,1024516.4158193585,983604.3920580002
93,1692731.6971970517,568344.0089446888,1395860.8799765161,999699.4530592719,1036754.6602598927
94,1738152.9322138834,510891.48738343007,1347041.9412417822,1095381.5926647675,1054476.314610431
95,1694855.2346694216,499776.50858333136,1334685.8329085708,1122991.105091929,969936.8927836379
96,1578812.0450578327,534030.8873162544,1287395.9448635997,1122035.518291679,903070.6306442977
97,1503546.2023003278,599123.0206462466,1299143.9910163216,1122020.347772982,1035078.6813206074
98,1491796.1939004916,647318.2259374938,1410456.3408048793,1158890.2382099992,1024860.0753381408
99,1496787.8700735176,664055.5586515213,1446799.2996049675,1146637.2743697404,1104984.0268534906
100,1564687.305001847,716759.5270618782,1298870.539454198,1085174.1178231833,1096241.7487842473
101,1627793.3031859107,738182.1499484722,1227964.5994465163,1100874.0525609073,1096791.0749323298
102,1683106.9250757785,833319.086558784,1128479.1782879252,1262223.1552851018,1126800.3984455285
103,1605744.869218404,779319.9454630384,1115307.2169472738,1352335.5721842442,1158891.3999057077
104,1653745.217167231,736345.8150726954,1019785.1345223035,1486032.7319088364,1299714.6201008768
105,1756836.5471799215,761872.177852836,1011807.0990496445,1510131.0577648755,1334489.7602363855
106,1682094.3889196764,813462.1222023085,996812.009088256,1572944.0159096648,1212089.9342468192
107,1616689.3391293131,882466.4290426148,1087243.531109176,1625312.8398869806,1274170.4815712282
108,1545096.4267921243,914889.6250904565,1249193.7954150576,1671302.5185039123,1275178.1961367219
109,1580407.894004827,942787.3801511669,1366998.8629702758,1685487.2384942048,1288080.3969079067
110,1485111.6962055382,970237.8981858151,1359930.800544644,1791015.1996856378,1397900.9783624995
111,1436763.5496365558,1040122.6168415454,1440995.43726136,1792768.8642411325,1357219.2726236081
112,1481626.7887070782,1070133.114777398,1475206.0591798436,1861921.6824718784,1278032.8752335822
113,1470381.1563730245,999060.6545049034,1496514.6710631396,1915731.2886821157,1225859.356386416
114,1479906.5423882802,1151917.5725925064,1356080.5017818003,1895467.620545704,1202731.372726319
115,1297372.7525360174,1310785.3008338963,1319214.9070631077,1998587.0055981702,1117874.1033613016
116,1411345.642084064,1281471.4057016743,1294299.7843350475,2081601.1068661103,1069787.3706617763
117,1483374.3686578097,1279999.8823440128,1376131.9923167825,2078505.5714680706,1021874.4901143328
118,1566944.636423284,1248502.2932050924,1439330.4229733692,2180379.75192953,1045409.0721909313
119,1495557.9465952094,1196299.7938161592,1411899.0589696518,2244234.8020826136,1085295.0989912902
120,1468504.6076248027,1198801.6216496117,1431610.9719016752,2258967.783616878,990020.9758316143
121,1559526.9608359127,1158415.732052059,1257129.2671630173,2201829.919567392,828795.4712649789
122,1476329.762547342,1197389.6136339712,1225893.4956964795,2180190.4535087436,842782.7511754609
123,1438274.9357382406,1264554.7374298186,1101901.2126179358,2168106.1922423355,895793.3182942334
124,1425301.9305309285,1249795.8705519873,1052164.423141086,2204130.615320537,934011.7615593073
125,1384922.2783733117,1241918.1802063503,1096681.595726055,2050953.0661411707,968142.2827522876
126,1330077.655288709,1281032.1002614123,1157705.5202705674,2044385.3248101738,1025473.5428303083
127,1307048.0932168209,1321019.3500032485,1287639.0488025367,2266499.604051482,1032924.683607283
128,1230546.519151357,1338504.0267206659,1424769.7928867713,2429386.315392914,1068861.615634382
129,1181266.2511847164,1371233.10428732,1529686.2990870995,2498912.989486629,1097636.7477148504
130,1138370.3886502984,1297991.9191983882,1427631.511282184,2556284.7373392456,1126172.710387325
131,1114545.7199881577,1344785.1097513037,1498654.6428966864,2568405.4505874617,1176526.7480328188
132,1092134.2096103625,1385809.7864296823,1639643.925792366,2562371.0259640133,1153896.7441275686
133,1000683.3497516256,1295035.0549730312,1649545.780880446,2555571.5472100982,1161139.6271230131
134,1046185.4161117293,1255484.4816708658,1525325.5325223287,2664174.0545586958,1224993.1121035998
135,1060680.7602059431,1316585.7153996867,1379937.9710009145,2765122.4818385686,1228169.7092288022
136,988727.1882982736,1333699.375545818,1343585.5597746188,2819903.8759794356,1213799.4257766542
137,1182071.9682884477,1349568.699550262,1319141.151681283,2823065.1053036363,1228780.4122400607
138,1300888.0967650379,1292664.4117644352,1232425.4327224828,2862858.2296694643,1228203.513244591
139,1365411.8769876761,1277159.4846594012,1264995.7974137494,2795891.6904064426,1130027.40157715
140,1330975.4166747262,1270192.76906219,1287728.896517105,2729312.749193796,1074984.067114431
141,1394160.5045142127,1279209.2253547092,1263631.2558179172,2754159.5853927922,1052242.1997485382
142,1613335.0180599173,1250383.6004199276,1227573.1016166427,2641875.3448979324,993359.3270370488
143,1660401.5197549227,1300212.3386604097,1284372.5373193854,2635782.8058023886,976271.0960901495
